la_code,la_name,LSOA21CD,easting,northing,dist_state_ASD_km,dist_state_SEMH_km,dist_state_MLD_km,dist_state_SLD_km,dist_state_SLCN_km
E10000029,Suffolk,E01030216,628333.2335000001,236200.93979999985,22.559783509084074,11.174947853495777,63.768990175306676,34.71492326736944,14.034818597037548
E10000015,Hertfordshire,E01023882,512064.1804999998,194826.6724999994,7.382205822099738,1.1472954644892923,8.26545570660367,17.031097465690195,1.4827583022308901
E10000019,Lincolnshire,E01032994,492478.6098999996,365652.7006000001,17.223500547124893,3.4921824819757132,48.000688509949455,47.2474555546715,29.485400504304227
E10000012,Essex,E01022055,624805.0527999997,221703.58300000057,8.482314958446194,21.476983389616198,56.01233836163858,29.254813767540156,24.53389413837612
E10000024,Nottinghamshire,E01028101,450524.3557000002,336369.7435999997,3.9680414894330784,5.678655052604098,5.854459367307981,17.994245376598936,8.34139933118355
E10000023,North Yorkshire,E01027569,375448.7281999998,468197.4372000005,33.97575001219318,43.17794525575119,45.71303697779728,57.38560108200555,28.8977650592887
E06000047,County Durham,E01020751,442924.22759999987,544116.4934999999,7.824397130523344,21.012309373268238,125.90489780868697,9.587055569962276,16.142352689219255
E08000037,Gateshead,E01008208,422544.73429999966,561634.2819999997,3.062231897509174,1.7496802811719454,141.88527094537835,3.5391155987792215,4.36746891566745
E06000055,Bedford,E01017515,502391.8810999999,246978.52720000036,0.9856453998657331,18.28055568946625,20.96587465068611,2.2961886820721444,21.89241626905292
E08000021,Newcastle upon Tyne,E01008416,419934.95880000014,565310.9579000007,1.433403821840804,5.384012174900185,145.59875666295397,7.463981220707519,8.702034058418578
E10000029,Suffolk,E01030171,628613.3810999999,234383.57840000093,21.059938657508386,12.48864707748468,65.32407236212298,34.409277845810635,15.455198209682113
E06000042,Milton Keynes,E01033508,489986.80289999954,239411.96299999952,3.8557074283732105,5.45437323042848,6.7268029289260864,16.75474207182071,9.040201098858736
E10000023,North Yorkshire,E01034977,449234.0066999998,431335.04619999975,15.047503232103674,17.91019797653759,26.849617742034397,23.412576915452288,10.266703322799065
E06000018,Nottingham,E01013934,454686.443,341984.72509999946,1.3744680164407144,2.3918355362396686,7.697664206979329,19.553063630286545,8.036698767331117
E10000012,Essex,E01021442,559554.2993999999,198571.61849999987,7.432116717825424,14.624344989734679,5.198446553806383,14.606777910305455,18.256073554923486
E08000023,South Tyneside,E01008662,433085.0253999997,563527.4657000005,4.72364634155821,3.8129601070982098,144.10932345780154,4.41248786707878,7.872892004664732
E06000010,Kingston upon Hull,E01012794,506577.00600000005,431049.9408,26.629824257811794,3.8171038907974015,58.43606288099452,3.853841938058782,60.457497020054895
E10000020,Norfolk,E01026691,564586.1303000003,324285.7631000001,41.632518219040314,48.97842384372028,44.7268310538486,48.53505337103182,73.3925470939178
E06000057,Northumberland,E01027364,426024.71920000017,604076.6602999996,17.31337421034477,32.37257046482447,184.34585689269858,39.0552536076853,19.700808102390944
E10000023,North Yorkshire,E01027891,448747.6514999997,426859.7458999995,12.02992621631593,17.537133887240834,22.584357465577835,19.138088472948493,5.8229831974867095
E10000023,North Yorkshire,E01027879,461081.3490000004,431021.4375,22.32344420778755,29.703815391397626,26.927953936814667,15.910526765170157,17.169058522126903
E10000012,Essex,E01021992,621908.8236999996,229368.53989999928,13.947037241505864,13.335348754576696,57.597966099777295,26.6937642428067,16.361385780342477
E10000020,Norfolk,E01026902,624829.7426000005,283305.0014999993,11.639013381230216,24.18956141247488,31.42572775864777,55.3446952482949,38.87702383975671
E06000042,Milton Keynes,E01016808,483280.8252999997,240539.08430000025,5.170944617478588,1.9285064995034829,6.902644484386505,22.216274300387003,4.631887837850521
E10000012,Essex,E01022021,612411.6509999996,231489.15320000052,9.422284856406849,10.275881903820364,50.47376569599368,18.164936934414758,14.554648439480115
E10000029,Suffolk,E01030091,585282.3767999997,263981.83440000005,44.8011776184133,2.8548152382602607,34.25278080683943,21.64851216134275,25.233829502281154
E06000012,North East Lincolnshire,E01013154,529703.8316000002,407249.0672999993,4.797455861901256,28.334234934815623,75.4524107413203,31.396787184620166,80.38510488427069
E10000029,Suffolk,E01034564,570829.5870000003,277515.68689999916,46.49876340836839,21.476641807735422,17.346180312466952,38.82845339218048,32.47057296089719
E10000020,Norfolk,E01026622,652861.9994000001,306122.3345999997,24.67328616801481,3.362796092831011,11.709798098974659,91.25240081217113,70.50585157893725
E10000029,Suffolk,E01030163,629334.3299000002,233391.0281000007,20.551770988502508,13.681517983060804,65.96335544175058,34.83135726530984,16.664747014947846
E10000012,Essex,E01021715,597284.4946999997,223036.19109999947,9.044739399432926,10.00500336178152,33.23725278702814,2.123688478437402,29.9436565096129
E06000047,County Durham,E01020851,428254.56400000025,526585.8007999994,7.098883739813324,1.8597327909612003,106.94981074746065,26.624755579290373,29.127691640049516
E10000023,North Yorkshire,E01027631,443309.9938000003,482661.2544,14.085723352571009,32.95475896135121,66.01711941988356,36.82890724190923,24.954299549783872
E10000017,Lancashire,E01025145,348266.8372999998,460442.5650999993,27.06990185328685,23.92635446673345,22.445452186569536,56.150533284603384,49.58876768943317
E10000015,Hertfordshire,E01023855,510898.1507000001,197948.95350000076,4.059038543604585,3.227685325225492,11.533403783952483,14.768605286446961,3.1552787252266463
E10000006,Cumbria,E01019282,298018.74739999976,517136.11920000054,9.79867770473176,85.64436730577509,82.1886165670728,1.456531761141999,120.43104062588074
E06000010,Kingston upon Hull,E01012765,508491.9254999999,432987.1177999992,29.325111187751453,6.290164301544547,61.02066408446053,2.861945207027424,62.67932624503868
E06000011,East Riding of Yorkshire,E01034758,494816.9016000005,426489.7874999996,17.43417329471719,10.396685639877214,45.891943317199626,10.309711367096034,48.18829567979432
E10000024,Nottinghamshire,E01028389,455786.84339999966,326117.2885999996,10.207615891451526,16.027483528346647,8.293576029640048,8.99037975127884,19.8644793418962
E10000015,Hertfordshire,E01023435,507644.08999999985,210214.71350000057,8.49429756596682,0.8822891273176011,13.886608214505323,13.322185638107129,3.655532074018769
E08000024,Sunderland,E01008772,435988.94849999994,553275.9899000004,3.6731141347841865,11.137773455684378,134.12693193172973,1.9665943226693767,5.014583753089777
E06000013,North Lincolnshire,E01013265,488748.05310000014,406903.5263,3.3943476294585038,26.34127615147007,34.51653209815582,21.72860207396265,43.33001678563976
E10000023,North Yorkshire,E01027645,439483.99729999993,466542.97780000046,24.882810709778727,22.960242455198628,49.5130330622205,53.38262514969693,33.934872858053964
E10000012,Essex,E01021247,567599.8558999998,195683.42540000007,7.202300875035166,19.782499155443567,7.316279454157567,11.112249859174943,21.99483466118184
E10000012,Essex,E01021265,571514.3244000003,189200.47619999945,3.8517790725330796,17.244074826652497,8.083964947004457,5.1347850356562175,21.209307780660268
E06000055,Bedford,E01017475,504734.93819999974,248153.25359999947,1.9854680095460888,18.950237014521818,23.542609366748362,0.920967110233764,23.109151353645746
E10000015,Hertfordshire,E01023716,515445.7703999998,208155.4210000001,2.9303288204495637,0.9838007889592,20.491518217856594,19.476183234924417,7.119045627410618
E06000033,Southend-on-Sea,E01015904,586492.1063000001,186755.0521000009,2.126072860842889,2.218485194950089,7.169004067289407,10.150464241797595,19.577402444375704
E10000020,Norfolk,E01026737,619364.2895,332234.47959999926,25.830405111081575,25.15390571154288,51.362521525250045,86.48989402654895,87.12940539188533
E10000012,Essex,E01021933,584804.2122,191613.75650000013,3.8592515670427736,5.801577745227813,6.002899475330348,8.495335604101871,23.527778735930987
E10000020,Norfolk,E01026943,645075.5964000002,294523.9079999998,11.523536046064951,16.696996918181423,9.122470389634275,77.63494029135178,56.57393815367061
E06000047,County Durham,E01020743,442188.3021999998,548199.2818999998,8.154462694487494,17.598546973702007,129.83019758699416,6.046209931551494,12.95300074007528
E08000024,Sunderland,E01008849,430480.0477999998,556211.7709999997,4.098791811488738,5.21468531885935,136.64974410772618,6.537351022174578,1.2346054789793435
E08000022,North Tyneside,E01008467,431138.53699999955,568909.7257000003,1.3284681777185852,6.808669967784963,149.36475768749565,4.3525336717146486,3.614192350306001
E10000029,Suffolk,E01030187,644945.0237999996,262270.90949999914,28.891115953964043,32.66469727421184,33.52048514004562,60.77127554479895,32.35979998264986
E06000033,Southend-on-Sea,E01015876,594128.6703000003,185298.58630000055,4.222426558988445,5.822568181880864,14.931267530871457,17.917208342452728,21.247778144669052
E06000010,Kingston upon Hull,E01012775,505626.625,429500.3435999993,24.81781505176189,2.0492461198897653,56.902046193090925,2.074478767951905,59.2864718891205
E10000012,Essex,E01021356,575933.4001000002,224957.4297000002,30.301121335995308,27.081136246094044,22.340765436930162,17.150761763039313,21.492880902096783
E06000057,Northumberland,E01027462,422453.12129999977,587329.7485000007,6.633430333000373,15.415828478683279,167.5808682198818,23.135050156630296,2.7401136937668062
E06000005,Darlington,E01012332,430458.1213999996,516615.0324000008,12.805021606861532,4.181543743426184,97.12845492303856,23.064123968436434,38.93018087337031
E08000024,Sunderland,E01008824,436390.65189999994,554087.9546000008,2.8769752513413147,10.815966285534477,134.97365402027475,1.0947504458247805,5.08951304109067
E06000047,County Durham,E01034502,427442.4223999996,534536.7446999997,2.7536909376683774,2.8838134700422233,114.86061119919536,20.179813747426394,21.38466607486814
E10000003,Cambridgeshire,E01018136,526725.5442000004,255884.9896000009,16.921075193043524,9.251826159254103,30.420254629030605,23.88443332257835,33.10714938170187
E10000029,Suffolk,E01030083,611378.3119999999,259075.10270000063,35.07613086761899,18.35602761526343,55.56680486038633,29.099194157555434,15.23458807076548
E10000020,Norfolk,E01026746,591590.2972999997,330413.28539999947,39.2966565948279,37.147504199346024,62.29881533133811,62.883137780833195,88.3528939515913
E10000019,Lincolnshire,E01034695,504126.0546000004,343939.86209999956,22.976354224997756,15.700274966502919,45.61730603539349,25.133090143421914,14.266215344267025
E10000023,North Yorkshire,E01027746,422054.34190000035,499789.4780000001,12.879912668755935,16.08769965867628,80.04810850603403,36.34774925876365,48.551742407534164
E10000012,Essex,E01021485,578656.1412000004,183452.20189999975,7.354744742361775,10.69826135625292,5.286155346194704,6.12027818533648,14.410628172112915
E10000003,Cambridgeshire,E01018171,530305.8575999998,272562.7013000008,5.722863566930151,15.7433769216428,24.932903276684367,35.57562130310198,47.03504800916611
E10000003,Cambridgeshire,E01018023,564101.5077999998,258404.90750000067,42.01340603612829,20.919811851395735,14.411789620655348,28.320498919391383,13.98999264565342
E06000002,Middlesbrough,E01012021,449908.6272,517299.6757999994,0.293551112560319,0.20371903908460087,101.11367897974816,3.648267764362492,37.41780903421853
E10000006,Cumbria,E01019177,321828.86789999995,469250.4997000005,51.395320803322036,32.169882657342434,28.717133049539925,53.4248843934444,74.7495156752952
E10000017,Lancashire,E01025589,336667.55090000015,447512.1920999997,27.301823215726444,7.430695963420186,5.126488984382138,52.733900302518485,50.14661004873973
E06000018,Nottingham,E01013914,460028.9297000002,340834.2647999991,1.5655906687450338,7.779446163568851,7.564475722801343,24.1220462941315,13.50066159921329
E06000057,Northumberland,E01027379,398554.81740000006,651374.6821999997,0.681006591113192,80.14613860016894,217.98770051086785,91.44952300642734,70.00960651730229
E10000015,Hertfordshire,E01023506,536018.1529000001,217624.44409999996,6.246047482992938,7.001730031556667,32.81263529995422,34.913499063445336,4.507624640473402
E10000015,Hertfordshire,E01023909,525249.8881999999,203976.37150000036,8.29555926437184,11.622638673911643,17.153185837427483,24.46439889349682,4.912448760211975
E06000011,East Riding of Yorkshire,E01012925,498828.392,442205.28280000016,33.65073800890629,16.008361711781898,58.05913664623038,15.703879998906102,52.34965714328247
E10000015,Hertfordshire,E01023372,498384.2904000003,207360.06959999911,12.16755146285233,8.966971263898147,14.832169137425625,5.163201922796405,9.608838821478884
E06000047,County Durham,E01020744,443791.6124,540354.3767000008,9.491461888778248,20.23546858025154,122.3325165239943,13.256467082036485,19.523521658090036
E10000012,Essex,E01021584,570541.6301999995,204888.46619999968,13.113967291071353,25.265062993273922,1.6165945392996504,4.082493366669012,30.1634801463767
E10000020,Norfolk,E01026648,572903.1288000001,288208.4375,50.756095672661836,27.980724947556197,20.450815107217565,48.03248304440438,43.303751460897665
E06000018,Nottingham,E01013810,455370.73840000015,341285.5756000001,1.9436028527840932,3.102536405290151,6.911057326788071,20.530775692558514,8.881093002404148
E10000023,North Yorkshire,E01027601,456974.8169999998,465521.2385000009,35.89246446075156,39.41521228060774,56.825851923807015,45.389736406267595,22.170689274227378
E08000021,Newcastle upon Tyne,E01008397,424862.9693,564843.6588000003,3.187239281284345,2.8383196044071086,145.10112001787047,4.018634635390786,5.689086891809926
E06000033,Southend-on-Sea,E01015828,586408.6838999996,185519.47020000033,2.867410426640093,2.8439149848066663,7.514986164458299,10.442660650571622,18.429985241595052
E06000055,Bedford,E01017518,505868.7571000001,248194.65169999935,3.1166824935680486,18.091388119304913,24.486222736259244,1.9613065795826765,23.255942879528316
E10000012,Essex,E01021341,576173.3591999998,192910.04450000075,2.3657625173303356,13.692211932855024,5.449182421172224,3.706688189828021,23.939549684178296
E10000019,Lincolnshire,E01026207,515196.0937000001,351502.61429999955,21.427111587606134,25.436465623866926,50.40294880761142,28.477578781679334,27.671089607775375
E10000020,Norfolk,E01026883,616121.7254999997,307548.1285999995,6.822316152267586,4.417355812258086,40.25349077521969,71.1159237196073,62.438364667553735
E10000006,Cumbria,E01019387,346827.8021,498190.7863999996,53.212527293969146,59.10974625733678,56.49413271374773,51.33297143951442,70.11627796522967
E10000012,Essex,E01021559,570369.3570999997,204015.3520999998,12.320658602562315,24.790899979434,0.7679086088166156,4.925231820503103,29.425986784433814
E08000024,Sunderland,E01008749,433427.4391999999,549637.6795000006,5.719689979572602,12.367806921536404,130.2812172640368,4.728618074471126,6.19740264961137
E10000023,North Yorkshire,E01027626,451615.98780000024,508502.24259999953,8.963585065040256,7.803781635195292,93.1601028983767,9.736271278626724,29.0432323927309
E10000020,Norfolk,E01026429,599306.3372,313509.6513,24.556661429866605,22.155950895520103,55.98830158557494,72.03705461229171,70.76373568310468
E10000015,Hertfordshire,E01023684,516502.09530000016,205493.5206000004,1.9016712733033476,3.7236636166152945,18.735238310806707,19.91010658062169,6.609673218783393
E06000013,North Lincolnshire,E01013244,477980.5259999996,404340.2162999995,13.14823303227688,30.77737532451434,23.7027618018754,17.255597815012035,32.556752113750896
E10000006,Cumbria,E01019169,320610.85929999966,470703.5092999991,53.25629316337132,34.00733154462046,30.5515807822892,51.59667046506444,76.61020680583846
E10000020,Norfolk,E01026607,649656.7608000003,317197.0965999998,28.77720388623188,8.243437474970243,23.1577309913242,97.21773750659369,78.9200865492844
E06000057,Northumberland,E01027486,370085.8733000001,563789.1645,43.188647832400406,47.13126609317965,125.9053328167513,30.719429121533466,55.12108294905593
E06000056,Central Bedfordshire,E01033829,493066.91839999985,224160.9419999998,14.15811870984368,3.2074769225083317,7.619600051421594,22.04711751729045,10.119652821180477
E10000024,Nottinghamshire,E01028127,449325.02979999967,338377.9922000002,5.11265847927967,4.509072097821171,7.801256555155393,19.220431738161757,6.014124770550153
E08000021,Newcastle upon Tyne,E01008362,427009.0431000003,565416.852,3.932070553863718,4.341273390603612,145.71316731149713,1.9863429941881643,6.1366031769181175
E10000023,North Yorkshire,E01027676,435323.4434000002,457796.0299999994,21.300495940542902,16.937429449261497,39.9009235787978,52.38543951217976,31.51019074448593
E10000015,Hertfordshire,E01023294,535079.1715000002,202624.1264999993,4.754238658860948,8.275124220180922,17.83371863253403,20.315799453587502,9.819021439349592
E10000012,Essex,E01021343,575229.3880000003,192331.1252999995,1.3224962108999325,14.343214972830594,5.694472889973049,3.4069756903212816,23.460750522483693
E06000003,Redcar and Cleveland,E01012155,463933.8298000004,521966.4221000001,15.072714118795894,14.455429638601144,109.99738963236804,11.163029917264657,37.55878645881599
E06000011,East Riding of Yorkshire,E01012943,517584.97140000015,467160.30560000055,26.347726009084564,27.74071329858337,88.74128587627912,35.00567621272654,52.404309041694326
E10000024,Nottinghamshire,E01028122,450692.17260000017,344831.15850000083,4.372893612119759,3.467123609033517,11.715901089260212,14.713589945281832,3.9372919202817407
E10000020,Norfolk,E01026472,587551.8838,284235.8920000009,41.839294407601194,19.5602354816194,33.90676382507138,41.788926739647714,43.49692486336059
E08000022,North Tyneside,E01008463,430731.54949999973,568348.7748000007,1.5242740726215704,6.84255626096515,148.78368886366096,3.6642425834364363,4.296223692577311
E10000012,Essex,E01021514,576926.5371000003,189350.31310000084,4.1585892995467875,11.906606777823157,2.7425441502932197,0.3009245405552472,20.335252516566925
E10000023,North Yorkshire,E01034972,489557.9212999996,511039.546599999,25.853833013140058,29.22276988164387,111.78514153763338,36.75738848029807,33.95972194737017
E10000019,Lincolnshire,E01026134,497060.7087000003,369732.69150000066,23.31534134437367,0.6830992765530028,54.13504430776334,42.82989142474455,33.91929736941311
E06000047,County Durham,E01020665,416999.7101999996,547268.2548999991,7.022914220290724,15.620079852021886,127.6726030222496,16.430226704899386,15.199891628218474
E08000021,Newcastle upon Tyne,E01008339,422063.2109000003,568366.0322999991,2.859803237903038,6.656334954696172,148.62014531850946,7.630552169778573,9.96285288574032
E08000024,Sunderland,E01008756,437136.7624000003,556862.4537000004,1.0612160309277316,8.053757908559891,137.80826332096572,1.915688188902124,5.782147011387892
E06000056,Central Bedfordshire,E01033835,500890.4494000003,222909.2194999997,19.748612352430158,9.668233680923732,0.9891577817215762,20.871398285302543,3.1415160104224755
E08000037,Gateshead,E01008174,427714.85819999967,555930.2971999999,3.8916730500436714,4.572294364018543,136.25097171645277,5.3407601784048335,3.69792094404879
E10000012,Essex,E01021979,608816.4064999996,217493.8032000009,7.35531150740456,15.772892199464916,40.81248954580896,14.855020392411076,28.96386025481635
E06000012,North East Lincolnshire,E01013160,529112.4743999997,408782.68099999987,4.122383578515456,26.724565288326286,74.92380102044726,29.809881930420534,81.47443910058404
E10000019,Lincolnshire,E01026025,533122.4989999998,343883.82049999945,15.353763167061189,23.51408131890864,44.3154149746696,23.05194881916164,41.680702173502304
E08000037,Gateshead,E01008199,413820.40830000024,563512.4902999997,6.718101418860983,10.001130593323303,144.07342895670254,12.462108978679957,13.118218836042283
E10000015,Hertfordshire,E01023330,538227.9530999996,209655.2017000001,2.0321731878660843,1.6412338847590333,25.373923731687256,26.731900147316438,4.173466355858139
E10000003,Cambridgeshire,E01018111,541545.0306000002,292440.47560000047,22.250757223499875,22.253775337509193,16.85869609915127,41.623187809252634,54.45763356116723
