la_code,la_name,region,intervention_status,n_requests,n_requests_refused,n_ehcp_active,n_plans_issued,refusal_rate_pct,timeliness_pct,n_tribunal_appeals,n_total_appealable_decisions,la_official_appeal_rate_pct,dsg_deficit_per_pupil,imd_average_score,flag_high_refusal,flag_low_timeliness,is_small_la,dsg_financial_stress_per_pupil,dsg_balance_2324,dsg_deficit_per_pupil,n_timely_plans,throughput_stress,throughput_stress_z
E06000014,York,Yorkshire and The Humber,Safety Valve,427.0,103.0,1348.0,236.0,24.121779859484775,64.8,1066.0,,3.1,,11.727,False,False,False,-2.62102117240386,291164.0,-2.62102117240386,152.928,2.792163632559113,-0.4206458014135602
E09000005,Brent,London,Delivering Better Value,705.0,170.0,3500.0,473.0,24.113475177304963,79.5,1698.0,,2.7,,25.558,False,False,False,-65.47638592539909,13256611.0,-65.47638592539909,376.035,1.8748254816705892,-0.5202297885621832
E08000005,Rochdale,North West,Delivering Better Value,755.0,182.0,2829.0,415.0,24.10596026490066,40.7,1772.0,,2.5,,34.415,False,False,False,-72.25118804721197,11189975.0,-72.25118804721197,168.905,4.469968325390012,-0.23850742549739756
E06000033,Southend-on-Sea,East of England,,569.0,137.0,1737.0,299.0,24.077328646748683,16.1,1344.0,,3.6,290.0,22.375,False,False,False,89.0245192454676,-11647612.0,89.0245192454676,48.139,11.819938095930533,0.5593873251606076
E06000021,Stoke-on-Trent,West Midlands,Safety Valve,788.0,189.0,2970.0,559.0,23.98477157360406,32.9,2421.0,,4.3,370.0,34.504,False,False,False,-73.32441752980493,12374522.0,-73.32441752980493,183.91099999999997,4.28468117730859,-0.2586217453427821
E06000058,"Bournemouth, Christchurch and Poole",South West,Delivering Better Value,1230.0,295.0,3769.0,784.0,23.983739837398375,74.1,,,,-287.0,18.173,False,False,False,-287.21499375938356,63512426.0,-287.21499375938356,580.944,2.117243658597042,-0.4939134638870851
E10000017,Lancashire,North West,,3658.0,876.0,11258.0,1720.0,23.947512301804263,17.3,5032.0,,6.6,,27.3,False,False,False,24.810005761888608,-18429170.0,24.810005761888608,297.56,12.293318994488507,0.6107763982878294
E08000003,Manchester,North West,,2305.0,546.0,7798.0,1657.0,23.68763557483731,63.5,5110.0,,2.1,530.0,40.005,False,False,False,-19.53325473351156,7803379.0,-19.53325473351156,1052.195,2.1906585756442487,-0.4859437199615055
E09000019,Islington,London,,511.0,121.0,2035.0,295.0,23.679060665362034,78.6,1548.0,,7.5,,27.535,False,False,False,60.070500270754366,-5768450.0,60.070500270754366,231.87,2.203821106654591,-0.48451482777195937
E06000010,"Kingston upon Hull, City of",Yorkshire and The Humber,,811.0,192.0,2982.0,500.0,23.67447595561036,5.8,1209.0,,5.6,,40.564,False,False,False,-7.545077978224948,1333336.0,-7.545077978224948,29.0,27.96551724137931,2.3121119279367024
E06000005,Darlington,North East,Safety Valve,245.0,58.0,1026.0,172.0,23.6734693877551,72.1,700.0,,1.1,,25.657,False,False,False,-28.388131220051605,1848408.0,-28.388131220051605,124.01199999999999,1.9756152630390609,-0.5092882962860922
E06000018,Nottingham,East Midlands,,579.0,137.0,2115.0,294.0,23.661485319516405,29.9,1451.0,,3.6,490.0,34.891,False,False,False,97.26733470005556,-20306696.0,97.26733470005556,87.906,6.586581120742611,-0.008733114675544032
E10000015,Hertfordshire,East of England,,3343.0,775.0,11897.0,1781.0,23.182769967095425,55.2,2195.0,,27.9,950.0,13.8,False,False,False,1.661850229832579,-1499647.0,1.661850229832579,983.1120000000001,3.40042640106112,-0.3546142822155207
E06000052,Cornwall,South West,Delivering Better Value,1351.0,305.0,4163.0,914.0,22.575869726128794,7.4,3025.0,,4.1,,23.072,False,False,False,-76.45536083436696,22930186.0,-76.45536083436696,67.63600000000001,19.97456975575137,1.44463420345384
E10000014,Hampshire,South East,Delivering Better Value,3932.0,887.0,15994.0,2340.0,22.55849440488301,41.0,12380.0,,5.3,820.0,14.6,False,False,False,-156.1640891218873,123919328.0,-156.1640891218873,959.4,4.098394830102147,-0.2788445358025508
E08000004,Oldham,North West,Delivering Better Value,865.0,194.0,3336.0,408.0,22.427745664739884,85.8,2441.0,,4.1,,33.155,False,False,False,19.374544712383823,-3702243.0,19.374544712383823,350.064,2.4709767356826178,-0.45551306576953904
E06000061,North Northamptonshire,East Midlands,,1329.0,295.0,3819.0,930.0,22.19714070729872,21.4,,,,,,False,False,False,-29.143773018108995,6868721.0,-29.143773018108995,199.02,6.677720832077178,0.001160789588090591
E09000016,Havering,London,Delivering Better Value,899.0,193.0,2583.0,439.0,21.46829810901001,29.4,1858.0,,3.2,,16.789,False,False,False,-86.83666379036286,15296452.0,-86.83666379036286,129.06599999999997,6.965428540436677,0.03239363508141385
E06000049,Cheshire East,North West,Delivering Better Value,900.0,193.0,4576.0,438.0,21.444444444444443,47.0,3310.0,,4.2,380.0,14.475,False,False,False,-323.92588794438404,78651797.0,-323.92588794438404,205.86,4.371903235208394,-0.24915313195898525
E09000030,Tower Hamlets,London,Delivering Better Value,887.0,189.0,4463.0,593.0,21.307779030439683,39.3,1901.0,,3.4,,27.913,False,False,False,-84.19037917313871,15826781.0,-84.19037917313871,233.04899999999998,3.806066535363808,-0.310578980857741
E09000009,Ealing,London,,840.0,177.0,3720.0,522.0,21.071428571428573,71.3,2748.0,,2.7,,22.71,False,False,False,-7.920287564501248,1854171.0,-7.920287564501248,372.186,2.25693604810498,-0.47874879957213784
E06000009,Blackpool,North West,Safety Valve,423.0,89.0,1462.0,220.0,21.04018912529551,60.5,,,,,45.039,False,False,False,-23.27175770061806,1852525.0,-23.27175770061806,133.1,3.178061607813674,-0.37875366058064314
E08000019,Sheffield,Yorkshire and The Humber,,1211.0,253.0,5365.0,670.0,20.89182493806771,49.0,4022.0,,7.1,380.0,27.06,False,False,False,35.665567537989766,-12514477.0,35.665567537989766,328.3,3.6886993603411513,-0.32332007446406885
E09000003,Barnet,London,,1026.0,214.0,3809.0,747.0,20.857699805068226,100.0,2257.0,,7.1,,16.148,False,False,False,38.45173284992435,-10775406.0,38.45173284992435,747.0,1.3734939759036144,-0.5746531112803561
E06000062,West Northamptonshire,East Midlands,,1430.0,296.0,3531.0,711.0,20.6993006993007,10.8,,,,,,False,False,False,-3.4937586148696167,993597.0,-3.4937586148696167,76.788,18.622701463770383,1.29787868643444
E08000027,Dudley,West Midlands,Delivering Better Value,888.0,181.0,3628.0,501.0,20.38288288288288,49.1,2371.0,,6.4,220.0,24.103,False,False,False,-146.80117377612368,28715484.0,-146.80117377612368,245.991,3.6098881666402427,-0.33187562499151296
