priority_rank,la_name,region,intervention_status,need_type,facility_type,lead_time,typical_places,gap_pp,gap_abs_children,dist_nearest_maintained_km,demand_growth_to_2030,pct_placements_independent,indep_cost_2030_m,risk_score
153,Ealing,London,No intervention,SLD,New maintained special school,4–6 years,80–150,10.0,404,21.0,1.65,15.9,32.7,0.17
154,Staffordshire,West Midlands,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,5.6,474,19.8,1.4,18.0,99.4,0.69
155,"Bristol, City of",South West,No intervention,MLD,New maintained special school,4–6 years,80–150,6.9,340,35.1,1.72,13.5,29.4,0.91
156,Cumberland,North West,No intervention,SEMH,New maintained special school,4–6 years,80–150,19.8,573,97.0,0.79,14.5,8.6,
157,"Bristol, City of",South West,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,17.6,866,3.1,1.72,13.5,29.4,0.91
158,Cheshire West and Chester,North West,No intervention,MLD,New maintained special school,4–6 years,80–150,7.4,280,42.1,2.05,9.1,17.1,0.49
159,Bolton,North West,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,17.2,621,4.3,2.05,10.1,12.9,0.37
160,"Bristol, City of",South West,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,12.4,613,6.1,1.72,13.5,29.4,0.91
161,Bury,North West,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,24.5,687,3.9,1.74,23.4,29.1,0.32
162,Doncaster,Yorkshire and The Humber,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,13.8,432,8.9,2.05,14.5,21.9,0.14
163,St. Helens,North West,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,22.4,489,6.3,2.05,16.9,15.4,0.13
164,Hounslow,London,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,21.1,714,10.8,1.15,15.4,21.4,0.24
165,Wandsworth,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,19.7,625,7.6,1.39,23.2,27.5,0.39
166,Liverpool,North West,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,12.3,835,2.5,2.05,6.8,23.5,0.78
167,Redbridge,London,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,31.1,1055,7.4,0.97,2.9,1.3,0.15
168,Central Bedfordshire,East of England,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,9.3,373,14.3,2.05,5.3,8.1,0.64
169,Norfolk,East of England,Safety Valve,SLD,New maintained special school,4–6 years,80–150,1.6,194,71.9,2.05,27.8,138.1,0.98
170,Leeds,Yorkshire and The Humber,Delivering Better Value,SLD,New maintained special school,4–6 years,80–150,6.7,408,35.8,1.41,5.4,19.0,0.04
171,Wolverhampton,West Midlands,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,20.8,655,5.9,1.59,9.0,12.6,0.42
172,Liverpool,North West,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,11.8,801,2.4,2.05,6.8,23.5,0.78
173,Suffolk,East of England,Safety Valve,MLD,New maintained special school,4–6 years,80–150,2.9,258,55.2,1.75,19.4,63.6,0.3
174,Greenwich,London,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,15.8,513,5.1,2.05,12.8,11.5,0.51
175,Westmorland and Furness,North West,No intervention,SEMH,New maintained special school,4–6 years,80–150,23.8,566,54.7,0.74,27.3,12.7,
176,Southampton,South East,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,23.2,646,8.4,1.42,3.8,2.0,0.07
177,Bolton,North West,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,12.6,454,7.0,2.05,10.1,12.9,0.37
178,Ealing,London,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,13.9,562,6.0,1.65,15.9,32.7,0.17
179,South Gloucestershire,South West,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,14.7,475,6.2,1.98,12.6,7.1,0.56
180,South Gloucestershire,South West,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,15.1,490,5.7,1.98,12.6,7.1,0.56
181,South Tyneside,North East,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,45.4,806,5.0,1.32,7.8,9.4,0.05
182,Stockport,North West,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,13.4,469,5.5,2.05,14.6,24.2,0.13
183,Wigan,North West,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,10.7,383,9.0,2.05,13.4,25.3,0.07
184,Cheshire West and Chester,North West,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,9.3,355,12.2,2.05,9.1,17.1,0.49
185,Wolverhampton,West Midlands,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,15.2,478,10.5,1.59,9.0,12.6,0.42
186,Cumberland,North West,No intervention,ASD,New maintained special school,4–6 years,80–150,24.9,721,20.8,0.79,14.5,8.6,
187,Dudley,West Midlands,No intervention,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,17.2,654,13.2,1.04,11.0,21.5,0.47
188,West Berkshire,South East,No intervention,SEMH,New maintained special school,4–6 years,80–150,17.2,290,15.4,2.05,19.5,13.6,0.18
189,Havering,London,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,12.4,373,9.2,2.05,11.2,6.7,0.26
190,Medway,South East,Safety Valve,MLD,New maintained special school,4–6 years,80–150,12.3,374,24.1,1.36,20.6,50.1,0.73
191,Westmorland and Furness,North West,No intervention,ASD,New maintained special school,4–6 years,80–150,22.1,525,51.8,0.74,27.3,12.7,
192,Rotherham,Yorkshire and The Humber,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,11.0,399,9.0,1.93,8.8,15.7,0.38
193,Harrow,London,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,17.9,482,3.8,2.05,23.5,28.4,0.53
194,South Gloucestershire,South West,No intervention,MLD,New maintained special school,4–6 years,80–150,7.4,239,36.1,1.98,12.6,7.1,0.56
195,Dorset,South West,Safety Valve,MLD,New maintained special school,4–6 years,80–150,8.7,377,32.9,1.22,18.7,37.0,
196,Luton,East of England,Delivering Better Value,SLD,New maintained special school,4–6 years,80–150,11.3,308,23.4,1.88,3.4,3.7,0.41
197,Tower Hamlets,London,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,9.7,442,5.8,2.05,10.1,5.6,0.75
198,Darlington,North East,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,29.9,335,10.0,2.05,15.3,4.8,0.04
199,North Yorkshire,Yorkshire and The Humber,Safety Valve,SLD,New maintained special school,4–6 years,80–150,3.9,214,50.2,2.05,9.3,20.7,0.5
200,County Durham,North East,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,8.6,463,5.6,2.05,4.3,6.9,0.45
201,Thurrock,East of England,Safety Valve,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,18.8,472,11.5,1.46,6.6,4.7,0.08
202,Lincolnshire,East Midlands,Delivering Better Value,MLD,New maintained special school,4–6 years,80–150,4.7,396,54.8,1.08,6.5,21.8,0.22
203,Sunderland,North East,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,22.6,678,9.7,1.04,7.8,14.6,0.39
204,Cheshire East,North West,Safety Valve,MLD,New maintained special school,4–6 years,80–150,10.4,507,22.3,0.85,31.6,63.6,0.29
205,Bromley,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,6.5,286,11.6,2.05,19.1,34.9,0.77
206,Blackpool,North West,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,26.2,435,17.6,1.24,12.2,4.6,0.15
207,Kirklees,Yorkshire and The Humber,Delivering Better Value,SLD,New maintained special school,4–6 years,80–150,5.0,224,31.4,2.05,10.7,17.6,0.41
208,Bury,North West,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,11.6,325,11.5,1.74,23.4,29.1,0.32
209,York,Yorkshire and The Humber,No intervention,SEMH,New maintained special school,4–6 years,80–150,20.8,324,36.4,1.46,2.1,0.4,0.11
210,North Northamptonshire,East Midlands,No intervention,SLD,New maintained special school,4–6 years,80–150,4.7,214,31.7,2.05,12.8,32.4,
211,Hertfordshire,East of England,Safety Valve,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,3.9,499,6.4,1.61,7.4,38.8,0.72
212,Merton,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,18.8,513,8.8,1.13,29.8,31.7,0.35
213,Dudley,West Midlands,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,17.2,654,8.5,1.04,11.0,21.5,0.47
214,Rochdale,North West,Delivering Better Value,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,18.0,535,4.6,1.6,14.9,22.0,0.06
215,Wigan,North West,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,7.4,265,14.1,2.05,13.4,25.3,0.07
216,Sefton,North West,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,11.5,431,4.0,2.05,16.0,27.8,0.5
217,Croydon,London,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,8.4,439,3.9,2.05,14.8,38.3,0.57
218,Solihull,West Midlands,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,37.4,936,5.7,0.84,9.6,5.2,0.66
219,Somerset,South West,Safety Valve,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,9.7,555,18.5,0.76,27.7,65.9,0.8
220,Newcastle upon Tyne,North East,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,14.3,442,4.4,2.05,3.9,6.7,0.74
221,Luton,East of England,Delivering Better Value,SEMH,New maintained special school,4–6 years,80–150,10.6,289,15.7,1.88,3.4,3.7,0.41
222,Cambridgeshire,East of England,Safety Valve,SLD,New maintained special school,4–6 years,80–150,3.6,288,41.9,1.29,12.6,31.8,0.39
223,Trafford,North West,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,14.9,469,5.6,1.66,7.2,4.4,0.18
224,Lincolnshire,East Midlands,Delivering Better Value,SEMH,New maintained special school,4–6 years,80–150,5.3,444,20.6,1.08,6.5,21.8,0.22
