priority_rank,la_name,region,intervention_status,need_type,facility_type,lead_time,typical_places,gap_pp,gap_abs_children,dist_nearest_maintained_km,demand_growth_to_2030,pct_placements_independent,indep_cost_2030_m,risk_score
447,Southwark,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.0,36,6.0,1.58,12.3,6.6,0.53
448,Newham,London,Delivering Better Value,MLD,Resourced provision unit / SEN unit,1–2 years,10–25,4.4,53,9.1,0.92,6.6,2.8,0.86
449,Hartlepool,North East,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,3.2,31,14.5,1.21,16.6,8.8,0.47
450,Kensington and Chelsea,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,3.9,32,11.3,1.24,19.2,3.2,0.04
451,Plymouth,South West,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,1.7,53,1.3,2.05,10.9,13.5,0.65
452,Westminster,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,2.2,31,9.4,1.18,14.7,7.5,0.05
453,North Tyneside,North East,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,2.9,67,5.4,0.74,3.7,5.3,0.45
454,Peterborough,East of England,Safety Valve,SLD,New maintained special school,4–6 years,80–150,0.5,15,21.4,2.05,0.0,0.0,0.17
455,West Berkshire,South East,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,0.8,13,14.7,2.05,19.5,13.6,0.18
456,Windsor and Maidenhead,South East,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.7,23,19.6,0.97,22.7,13.3,0.05
457,Cumberland,North West,No intervention,MLD,New maintained special school,4–6 years,80–150,0.6,17,82.1,0.79,14.5,8.6,
458,Oldham,North West,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,2.4,88,0.5,1.66,4.5,3.3,0.06
459,Haringey,London,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,1.0,30,9.1,0.74,14.2,7.0,0.63
460,Newham,London,Delivering Better Value,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,2.8,34,4.4,0.92,6.6,2.8,0.86
461,Middlesbrough,North East,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,2.0,39,0.8,2.05,10.2,13.1,0.03
462,Redbridge,London,No intervention,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,1.0,34,2.2,0.97,2.9,1.3,0.15
463,Portsmouth,South East,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,0.5,10,1.6,2.05,3.0,1.2,0.02
464,Merton,London,No intervention,ASD,Resourced provision unit / SEN unit,1–2 years,10–25,1.6,43,0.3,1.13,29.8,31.7,0.35
465,Slough,South East,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,0.7,14,0.2,1.43,7.8,5.2,0.65
466,Milton Keynes,South East,Delivering Better Value,SEMH,Resourced provision unit / SEN unit,1–2 years,10–25,0.1,2,3.1,1.17,6.0,6.8,0.1
467,Leicestershire,East Midlands,No intervention,SLD,Resourced provision unit / SEN unit,1–2 years,10–25,0.0,1,9.8,0.84,16.9,31.0,0.18
