feat_year,model_family,collapse_type,n_la,n_positive,auc_loo,precision_at_10,precision_at_20
2020,demand_only,y_placement,145,35,0.596,0.300,0.350
2020,demand_only,y_composite,145,23,0.686,0.600,0.350
2020,demand_legal,y_timeliness,142,42,0.643,0.400,0.500
2020,demand_legal,y_appeal,142,35,0.805,0.800,0.750
2020,demand_legal,y_placement,142,35,0.656,0.700,0.450
2020,demand_legal,y_composite,142,23,0.670,0.400,0.400
2020,demand_cost,y_timeliness,144,44,0.654,0.400,0.500
2020,demand_cost,y_appeal,144,35,0.654,0.500,0.500
2020,demand_cost,y_placement,144,35,0.741,0.500,0.600
2020,demand_cost,y_composite,144,23,0.741,0.600,0.500
2020,demand_throughput,y_timeliness,145,44,0.628,0.500,0.550
2020,demand_throughput,y_appeal,145,35,0.637,0.600,0.550
2020,demand_throughput,y_placement,145,35,0.687,0.500,0.400
2020,demand_throughput,y_composite,145,23,0.768,0.500,0.400
2020,full,y_timeliness,141,42,0.625,0.300,0.500
2020,full,y_appeal,141,35,0.827,0.800,0.700
2020,full,y_placement,141,35,0.787,0.700,0.700
2020,full,y_composite,141,23,0.785,0.600,0.500
2021,signals_only,y_timeliness,141,42,0.499,0.400,0.250
2021,signals_only,y_appeal,141,35,0.878,0.800,0.750
2021,signals_only,y_placement,141,35,0.755,0.600,0.550
2021,signals_only,y_composite,141,23,0.754,0.500,0.350
2021,demand_only,y_timeliness,147,45,0.660,0.400,0.550
2021,demand_only,y_appeal,147,35,0.634,0.600,0.600
2021,demand_only,y_placement,147,37,0.651,0.600,0.400
2021,demand_only,y_composite,147,24,0.680,0.500,0.350
2021,demand_legal,y_timeliness,142,42,0.630,0.400,0.500
2021,demand_legal,y_appeal,142,35,0.861,0.900,0.800
2021,demand_legal,y_placement,142,35,0.599,0.500,0.300
2021,demand_legal,y_composite,142,23,0.719,0.400,0.450
2021,demand_cost,y_timeliness,146,45,0.638,0.400,0.550
2021,demand_cost,y_appeal,146,35,0.679,0.500,0.500
2021,demand_cost,y_placement,146,37,0.786,0.800,0.650
2021,demand_cost,y_composite,146,24,0.738,0.600,0.450
2021,demand_throughput,y_timeliness,147,45,0.720,0.700,0.700
2021,demand_throughput,y_appeal,147,35,0.629,0.700,0.500
2021,demand_throughput,y_placement,147,37,0.719,0.600,0.550
2021,demand_throughput,y_composite,147,24,0.812,0.500,0.500
2021,full,y_timeliness,141,42,0.670,0.600,0.600
2021,full,y_appeal,141,35,0.836,0.900,0.700
2021,full,y_placement,141,35,0.797,0.700,0.550
2021,full,y_composite,141,23,0.749,0.500,0.600
