la_code,la_name,region,intervention_status,pct_ASD_now,pct_SEMH_now,pct_MLD_now,pct_SLD_now,pct_SLCN_now,total_ehcp_now,supply_pct_ASD,supply_pct_MLD,supply_pct_Other,supply_pct_SEMH,supply_pct_SLCN,supply_pct_SLD,pct_ASD_1516,pct_SEMH_1516,pct_MLD_1516,pct_SLD_1516,asd_gap,semh_gap,mld_gap,mismatch_index,asd_demand_shift,semh_demand_shift,indep_per_ehcp,log_indep_per_ehcp
E10000008,Devon,South West,Safety Valve,27.4,26.6,9.8,2.7,25.8,9848,6.770833333333333,6.25,45.989583333333336,12.552083333333334,0.0,28.4375,20.92105263157895,18.88157894736842,6.973684210526315,10.986842105263158,20.629166666666666,14.047916666666667,3.5500000000000007,34.677083333333336,6.47894736842105,7.71842105263158,6283.240166798152,8.745641076532836
E08000012,Liverpool,North West,Delivering Better Value,35.1,23.5,8.0,7.5,18.5,6814,23.34846192637418,0.0,56.58093797276853,11.24558749369642,8.825012607160868,0.0,25.975609756097562,13.170731707317074,9.085365853658537,24.390243902439025,11.75153807362582,12.25441250630358,8.0,24.0059505799294,9.12439024390244,10.329268292682926,2863.3235395189004,7.959738305880209
E08000006,Salford,North West,Delivering Better Value,24.4,27.0,6.7,1.9,27.9,3387,0.0,0.0,83.3984375,16.6015625,0.0,0.0,16.123348017621144,17.004405286343612,16.740088105726873,15.15418502202643,24.4,10.3984375,6.7,34.7984375,8.276651982378855,9.995594713656388,3037.987211478478,8.018950473626937
E10000030,Surrey,South East,Safety Valve,34.9,17.2,13.9,3.7,20.3,16069,32.95884723409452,9.769202588838686,35.498839907192576,3.7855660031749907,11.552082061301746,6.435462205397484,27.767803710353085,10.053859964093357,13.564731697586277,9.974067424695791,1.9411527659054784,13.414433996825009,4.130797411161314,15.355586762730487,7.132196289646913,7.146140035906642,6721.692734292735,8.813095296781018
E09000022,Lambeth,London,No intervention,38.4,14.2,7.1,2.4,24.5,3316,36.21001810500905,0.0,63.789981894990945,0.0,0.0,0.0,33.38380015140046,8.554125662376986,8.0999242997729,10.598031794095382,2.18998189499095,14.2,7.1,16.38998189499095,5.016199848599541,5.645874337623013,1585.9009603841537,7.368907954081113
E06000036,Bracknell Forest,South East,Safety Valve,48.5,17.6,10.6,3.1,11.9,1654,79.83870967741935,0.0,20.161290322580644,0.0,0.0,0.0,21.145374449339208,4.6255506607929515,12.995594713656388,29.515418502202646,-31.338709677419345,17.6,10.6,17.6,27.354625550660792,12.97444933920705,7890.300204220558,8.973389461813243
E06000037,West Berkshire,South East,No intervention,42.0,17.2,12.1,0.8,9.7,1685,31.64179104477612,32.537313432835816,35.82089552238806,0.0,0.0,0.0,31.62970106075217,4.146576663452266,12.439729990356799,6.653809064609451,10.35820895522388,17.2,-20.437313432835815,27.55820895522388,10.370298939247832,13.053423336547734,4179.512083605487,8.337949792295573
E06000041,Wokingham,South East,No intervention,41.0,20.6,7.9,4.7,15.0,2206,0.0,0.0,70.68062827225131,0.0,29.31937172774869,0.0,39.766839378238345,20.077720207253886,4.922279792746114,8.937823834196891,41.0,20.6,7.9,61.6,1.2331606217616553,0.5222797927461151,6265.1478439425055,8.742757465446385
E08000002,Bury,North West,Delivering Better Value,23.3,24.5,11.6,1.9,29.0,2804,0.0,0.0,85.53345388788426,0.0,14.466546112115733,0.0,21.461609620721553,7.030527289546716,15.726179463459761,10.545790934320074,23.3,24.5,11.6,47.8,1.8383903792784473,17.469472710453285,5728.033879374535,8.653127623318264
E06000022,Bath and North East Somerset,South West,No intervention,30.5,27.3,9.6,1.6,16.6,2469,39.00709219858156,0.0,60.99290780141844,0.0,0.0,0.0,26.618705035971225,11.630695443645084,20.023980815347723,14.028776978417264,-8.50709219858156,27.3,9.6,27.3,3.8812949640287755,15.669304556354916,4795.549775784753,8.47544363680025
