la_code,dist_state_ASD_km_lsoa_mean,dist_state_SEMH_km_lsoa_mean,dist_state_SLD_km_lsoa_mean,dist_state_MLD_km_lsoa_mean,dist_state_SLCN_km_lsoa_mean,dist_indep_ASD_km_lsoa_mean,dist_indep_SEMH_km_lsoa_mean,dist_state_ASD_km_lsoa_sd,dist_state_SEMH_km_lsoa_sd,dist_state_SLD_km_lsoa_sd,dist_state_MLD_km_lsoa_sd,dist_state_SLCN_km_lsoa_sd,dist_indep_ASD_km_lsoa_sd,dist_indep_SEMH_km_lsoa_sd,dist_state_ASD_km_lsoa_max,dist_state_SEMH_km_lsoa_max,dist_state_SLD_km_lsoa_max,dist_state_MLD_km_lsoa_max,dist_state_SLCN_km_lsoa_max,dist_indep_ASD_km_lsoa_max,dist_indep_SEMH_km_lsoa_max,pop_spread_km
E06000027,3.7433953863726837,5.889701707469802,12.161468266718419,5.683152437488763,36.220753290336866,63.621607865951134,5.04996929911274,1.9565928281897917,3.5897238216510226,2.0329278346769075,3.579458080362745,2.005322835542675,3.1500268381691163,2.524766771623399,7.281461613644867,12.69138773787048,15.967508425458643,12.488110221461405,39.67444072752706,68.86105167213604,9.072756088063077,4.017978139186923
E06000030,5.004224723278745,4.283212342370304,5.124055628014831,3.4839777093116555,21.92109664030768,35.926650740811766,29.010380221438552,2.5630163583282446,2.1242512446070356,2.588807382643941,1.6907895764829577,2.6139325717993818,2.5515393815829914,2.5635942009090815,11.556590630345191,8.43862579959743,11.626262522994306,7.90039019821368,30.61474254634236,40.36125055069595,33.635746068128924,3.7166110282212057
E06000031,4.393250926185518,4.279355694417734,21.610924133453455,4.61463784878271,44.82010756750019,3.64367735945214,22.782214986170732,2.7350560807746387,2.7259580256931226,3.18685337181011,2.7941684050517646,3.257975617632641,2.3912728751765515,2.7931170509617878,15.07232289680035,14.96789498202778,26.644242828015294,14.86590102692101,49.93758701740859,13.127016835191922,26.3468155492088,4.469323765603439
E06000032,17.276897720046318,13.234394714458464,23.2743074722074,7.863459497163201,5.444416466121114,20.811810417738585,2.4156562581725067,1.9468637165185128,1.186578234118637,1.1348544358358694,1.9960057558797872,2.1311394066519274,1.4130883281666382,1.138884747239078,21.284344803979113,16.082837990574866,25.896782876559467,12.359865595740958,9.939006375588102,23.698693704178243,4.830257503672145,2.5963914251244136
E06000033,1.9235181648414141,3.2085259993815707,11.244922502223572,8.284650998010429,19.98749600786605,29.741537707874723,3.425845051529027,0.8904853410745414,1.5971665315452148,3.2052918622911375,3.1841871317191073,1.1035526725335671,2.3602485387767715,2.3688173224796985,4.222426558988445,6.390553475837126,17.917208342452728,14.931267530871457,22.212309654395252,34.40428432650031,9.157329045920257,3.332239048142164
E06000034,4.198788936382871,11.35976208678866,5.564147953833058,13.344926721934348,13.380110134308902,12.829733081529467,14.792600123445723,2.0478828736041237,3.178657953766305,2.924837537980847,2.0040770315701653,2.923497849406048,2.8065188959731864,2.067990747199883,8.54164436027722,18.14072748119733,10.318564669719207,17.738059853376225,17.640559649754113,18.70711568887289,20.78813171568629,4.837429933874956
E06000035,10.537168895951739,4.312544990635533,5.920024247715943,21.67398748671249,3.4413338501322883,13.087468086535132,18.50388265631045,2.1121597469867406,2.3715823063518897,2.9196644563427063,2.716173524832058,2.053328217924538,3.083111069246805,2.5549516338825926,15.819855021365257,12.686167855574194,17.46770407566857,26.365740280219917,11.818445901882823,26.37656851749917,22.704220240481472,4.187716478288254
E06000036,3.6583729791980897,12.525557396173943,11.00635689875118,8.971888042568022,5.600029852097748,23.733058374195878,4.882417841365886,1.8847144212860916,1.4383659485536204,2.0693619993545784,2.195875664447246,1.6192376932570038,1.5665471414680405,2.435693893602297,7.966753611669473,15.753107148505832,15.17152011669962,13.911779301024747,11.773405772894039,25.98177203378233,9.798004686123575,3.672038833856355
E06000037,10.155227517190317,14.724850133129106,14.931753765837513,14.13787479290337,27.583577621994415,8.937198810542242,13.093327391998352,7.101174801161669,7.577911587175965,8.429853783743383,7.404475251261571,8.166505882360433,3.638101189966528,4.812775418813266,20.878526701844194,24.983347381039383,30.353211681920364,25.22562996477332,39.950738528807435,17.254079209281574,21.977716906745886,10.744918518040384
E06000038,15.994483632331068,3.5078845290900653,3.794289294303195,5.328911959742567,11.370968363573787,15.23035447269495,13.843485187045264,1.9569898934157466,1.496162239293202,1.791942006172231,1.9880764730171052,1.9916463470287882,1.6439653358585604,1.9648497508278944,20.19879023075747,6.55848288890888,6.579049138814329,8.635594260966178,15.750317862153011,19.035708945114667,18.332925467487648,2.6221481664801476
