la_code,la_name,region,intervention_status,n_ehcp_active,imd_average_score,topup_independent,topup_total,ep_service,sen_admin,sen_transport,indep_placements_per1000,pct_special_independent,dist_state_ASD_km_lsoa_mean,dist_state_SEMH_km_lsoa_mean,dist_state_SLD_km_lsoa_mean,dist_state_MLD_km_lsoa_mean,dist_state_SLCN_km_lsoa_mean,dist_indep_ASD_km_lsoa_mean,dist_indep_SEMH_km_lsoa_mean,dist_state_ASD_km_lsoa_sd,dist_state_SEMH_km_lsoa_sd,dist_state_SLD_km_lsoa_sd,dist_state_MLD_km_lsoa_sd,dist_state_SLCN_km_lsoa_sd,dist_indep_ASD_km_lsoa_sd,dist_indep_SEMH_km_lsoa_sd,dist_state_ASD_km_lsoa_max,dist_state_SEMH_km_lsoa_max,dist_state_SLD_km_lsoa_max,dist_state_MLD_km_lsoa_max,dist_state_SLCN_km_lsoa_max,dist_indep_ASD_km_lsoa_max,dist_indep_SEMH_km_lsoa_max,pop_spread_km,pct_asd,pct_semh,pct_sld,pct_mld,pct_slcn,total_pupils,indep_per_ehcp,total_per_ehcp,indep_per_pupil,ehcp_rate_pct
E06000018,Nottingham,East Midlands,Delivering Better Value,2115.0,34.891,2547322.0,32903487.0,1131062.0,276451.0,2670980.0,0.1293276876209453,3.3582089552238807,2.640709228914507,4.468263853246594,19.763706608704723,7.2314770690753924,9.528064121568459,22.865812579407297,8.695856676644553,1.6535907310582634,2.013213630513107,2.117106314007291,2.789298983575998,2.217951686989005,2.92268752899029,2.170980814911571,6.96069111662955,8.907332660573534,24.1220462941315,12.419094227246903,14.010112675633012,28.167387948328827,13.139077636802813,3.606069774147657,48.2,11.9,2.9,7.9,5.5,4001072.0,1204.4075650118202,15557.20425531915,0.6366598751534589,0.05286083329667649
E10000015,Hertfordshire,East of England,Safety Valve,11897.0,13.8,31233149.0,122506683.0,3291765.0,9558297.0,29827570.0,0.2615259819414093,7.4120603015075375,5.745961541871672,6.413822593552603,21.53203262256738,18.781556546677795,6.14458443691345,15.220774941483254,13.787980923785138,3.7338748545707015,4.170922916331033,7.713200389249629,6.196895405470744,3.9877645625870946,8.16122962306642,5.759703499624145,22.073661389729622,20.364904523077257,38.45904312801048,33.195925408661985,22.290345930524577,33.85882388256502,31.40529367648774,16.824846673478408,26.9,22.3,6.8,18.8,14.3,17722584.0,2625.2962091283516,10297.275195427419,1.762336067923278,0.06712903716523505
E06000052,Cornwall,South West,Delivering Better Value,4163.0,23.072,27637627.0,59653172.0,1912045.0,863900.0,12141226.0,0.9035863375078356,33.959899749373434,62.66604708242031,58.43978086676686,14.818740085714616,102.87530345708386,66.35920158106983,30.920438401813293,41.72934739266187,28.704258762030562,27.788726232006372,9.528038143592704,28.690642161852047,26.835937219812493,21.353999848278107,24.00286367289316,120.26700566211909,114.481832019091,45.002241540689106,159.6472793230922,120.83559842376489,83.31306872721926,95.18330314297647,32.78884195706078,28.7,21.7,6.4,10.6,24.0,6036304.0,6638.87268796541,14329.3711265914,4.578567779223843,0.06896604279704932
E10000014,Hampshire,South East,Safety Valve,15994.0,14.6,74094541.0,169628058.0,5320702.0,11998099.0,45535745.0,1.2085391672547636,20.557341907824224,9.39072610965112,11.670625797055553,17.622584993807695,11.979073162343527,17.64636220293898,14.772370100519316,14.375943251514908,7.088473157851818,8.41297263223214,12.225361545382725,9.16917159522297,8.556034594608638,7.029239069160821,8.289353942818364,26.361765249148686,34.88667929887876,55.20547386603297,41.183347774993884,38.03196405801313,38.04999034370088,33.40866611138003,27.495330125761463,23.3,28.1,3.1,16.0,20.5,15580856.0,4632.646054770539,10605.730774040265,4.755485898849203,0.10265161297941525
E08000004,Oldham,North West,Delivering Better Value,3336.0,33.155,6560887.0,35640962.0,583898.0,953586.0,4315502.0,0.2878255044796114,4.4606650446066505,4.616671240150293,2.7787072081429307,7.467791658454876,9.321510596978957,4.417205558324177,7.333530520775814,4.82775535139132,1.4300101703422972,1.7068171805328938,1.936386475807391,1.5837654646530082,2.553030985740392,2.316653903970835,1.4401011179392043,9.7598736954066,8.400414755069606,13.50813355929288,11.950957646438074,11.10930303534785,11.097820132087751,8.868877411432237,3.536266596603349,30.8,15.0,2.7,7.9,28.3,3698200.0,1966.6927458033574,10683.741606714628,1.7740757665891516,0.09020604618463036
E06000061,North Northamptonshire,East Midlands,No intervention,3819.0,,19263196.0,49028326.0,1419377.0,4466877.0,11571850.0,0.8358649717418238,12.783906554185595,6.60780489770313,10.384886463566437,27.846990373568605,35.60723265565602,33.41771662726266,26.383088361411648,17.094576668657226,4.622817525825644,5.526436036861903,4.731862596157471,5.049233265415328,4.538379771982654,4.957890604167637,4.250597044568885,20.51420579239393,20.63468248583988,37.076481104260935,44.82241631827742,46.486272119335716,34.265757756739056,26.295352349952267,10.542266375335375,17.4,20.9,4.7,13.6,34.9,1879592.0,5044.041895784237,12838.001047394606,10.248605016407817,0.20318239277460215
E09000016,Havering,London,Delivering Better Value,2583.0,16.789,4426936.0,39123317.0,1270312.0,1889937.0,5717296.0,0.3179072619101685,11.244979919678714,3.853634714316248,4.620259846254821,5.068710160493968,9.507048182416419,6.464424451112321,7.014498297618067,17.350377279725937,1.3970426577151722,1.8269435746855445,1.663490324151477,1.9087362446505307,2.108099465457372,2.0162723676867405,2.3184238045331047,7.31248736790842,8.509762143788652,8.808735121156925,12.604292257213137,10.57808534440447,10.928033138516058,21.811260421803084,3.389901683192967,28.2,17.7,1.8,12.4,26.7,3312264.0,1713.873790166473,15146.464188927603,1.3365287308016511,0.07798291440537349
E06000049,Cheshire East,North West,Safety Valve,4576.0,14.475,34361587.0,71038294.0,1666684.0,3277592.0,10901246.0,1.593851932391025,31.61764705882353,16.898163102543773,13.196498415507056,14.550787792004856,13.268811985059525,15.722097291411158,15.075018017380401,11.803693065195416,7.488039257248703,5.929495398687916,3.7937507366333345,3.36649647135563,3.6243376649388837,4.999289106916705,6.150052728507885,26.32616535193436,28.724169498334465,25.623413633118474,22.115235496291454,25.324534404317937,25.050646425734943,27.51218940974904,14.654494259230063,21.7,29.6,3.3,10.4,23.2,4646040.0,7509.088068181818,15524.10270979021,7.395887034980327,0.09849247961705022
E09000030,Tower Hamlets,London,Delivering Better Value,4463.0,27.913,8183679.0,67465564.0,1458584.0,3004913.0,10087511.0,0.5000319169308679,10.053475935828878,3.6243063141305187,2.173810883137578,1.9411754622584383,5.703280420072011,2.0957708896663703,4.224528160070617,3.428346348343886,0.8819960918654771,0.9055647765308259,0.9347159501610258,1.5734762776988669,1.0244362007490437,1.0955102919694788,0.9347493488059573,5.626312676363313,4.045314119603653,4.208637101715311,9.133283296753191,4.567476765297803,6.580625203481715,5.883238210022466,1.9566701786229306,26.7,11.1,1.9,9.7,37.9,3821432.0,1833.6721935917544,15116.63992829935,2.1415215552703804,0.11678868026436165
E09000009,Ealing,London,No intervention,3720.0,22.71,16578854.0,65181490.0,2258529.0,3190652.0,14153437.0,0.8500495506270717,15.94551282051282,1.882845029872825,4.6840650974633125,20.730358424615236,5.891492956716756,4.891750791582553,2.77087850938867,2.9960314451493013,0.8613506069818868,2.402462101789015,2.8095293548423146,1.820657199144795,1.8495653719951721,1.630262350666219,1.463118724026527,3.709899869700304,9.304457489766582,25.448710968358878,9.134263677728129,8.87073228826631,6.669302928776343,6.482414863560663,3.3730677480201154,28.5,12.0,10.0,13.9,24.6,4746320.0,4456.681182795699,17521.905913978495,3.4929912016046116,0.07837651064403581
